路線,票種,去返程,上車日期,上車時間,上車分鐘,上車站名,下車日期,下車時間,下車分鐘,下車站名,星期,乘坐分鐘
308,一般票,返程,2022/7/27,18:58,1138,煙波大飯店,2022/7/27,19:08,1148,東大門夜市,1,10
308,一般票,返程,2022/7/28,18:56,1136,門諾醫院,2022/7/28,19:26,1166,花蓮火車站,1,30
308,一般票,去程,2022/7/29,16:59,1019,花蓮火車站,2022/7/29,17:07,1027,郵政總局,1,8
308,一般票,去程,2022/8/2,07:15,435,花蓮火車站,2022/8/2,07:27,447,花蓮商校,1,12
308,一般票,去程,2022/8/5,07:18,438,花蓮火車站,2022/8/5,07:45,465,門諾醫院,1,27
308,一般票,去程,2022/8/6,16:58,1018,花蓮火車站,2022/8/6,17:14,1034,東大門夜市,0,16
308,一般票,返程,2022/8/7,08:55,535,煙波大飯店,2022/8/7,09:16,556,花蓮火車站,0,21
308,一般票,返程,2022/8/8,08:50,530,麗軒國際飯店,2022/8/8,09:01,541,東大門夜市,1,11
308,一般票,返程,2022/8/8,09:03,543,東大門夜市,2022/8/8,09:16,556,花蓮火車站,1,13
308,一般票,去程,2022/8/9,16:56,1016,花蓮火車站,2022/8/9,17:55,1075,七星潭,1,59
308,一般票,返程,2022/8/9,18:26,1106,七星潭,2022/8/9,19:20,1160,花蓮商校,1,54
308,一般票,去程,2022/8/10,16:58,1018,花蓮火車站,2022/8/10,17:18,1038,東大門夜市,1,20
308,一般票,返程,2022/8/10,18:55,1135,煙波大飯店,2022/8/10,19:03,1143,東大門夜市,1,8
308,一般票,返程,2022/8/11,18:23,1103,七星潭,2022/8/11,19:03,1143,東大門夜市,1,40
308,一般票,返程,2022/8/11,18:33,1113,花蓮曼波園區(海岸路),2022/8/11,19:03,1143,東大門夜市,1,30
308,一般票,去程,2022/8/12,16:57,1017,花蓮火車站,2022/8/12,17:11,1031,台灣企銀,1,14
308,一般票,去程,2022/8/12,16:57,1017,花蓮火車站,2022/8/12,17:12,1032,台灣企銀,1,15
308,一般票,返程,2022/8/12,18:27,1107,七星潭,2022/8/12,19:11,1151,台灣企銀,1,44
308,一般票,去程,2022/8/13,07:30,450,花蓮火車站,2022/8/13,07:46,466,北濱公園,0,16
308,一般票,返程,2022/8/14,08:57,537,煙波大飯店,2022/8/14,09:16,556,花蓮火車站,0,19
308,一般票,返程,2022/8/15,18:26,1106,七星潭,2022/8/15,19:02,1142,東大門夜市,1,36
308,一般票,返程,2022/8/16,18:27,1107,七星潭,2022/8/16,19:09,1149,東大門夜市,1,42
308,一般票,去程,2022/8/17,17:03,1023,花蓮電影城,2022/8/17,17:50,1070,七星潭,1,47
308,一般票,返程,2022/8/17,18:29,1109,七星潭,2022/8/17,19:03,1143,北濱街,1,34
308,一般票,返程,2022/8/18,08:49,529,家扶中心,2022/8/18,09:13,553,花蓮火車站,1,24
308,一般票,返程,2022/8/18,19:02,1142,東大門夜市,2022/8/18,19:09,1149,大同市場,1,7
308,一般票,去程,2022/8/19,16:58,1018,花蓮火車站,2022/8/19,17:39,1059,美侖大飯店,1,41
308,一般票,去程,2022/8/20,16:53,1013,花蓮火車站,2022/8/20,17:15,1035,東大門夜市,0,22
308,一般票,返程,2022/8/20,18:39,1119,中油辦公大樓,2022/8/20,19:08,1148,東大門夜市,0,29
308,一般票,返程,2022/8/20,18:39,1119,中油辦公大樓,2022/8/20,19:08,1148,東大門夜市,0,29
308,一般票,返程,2022/8/20,18:57,1137,煙波大飯店,2022/8/20,19:08,1148,東大門夜市,0,11
308,一般票,去程,2022/8/21,16:55,1015,花蓮火車站,2022/8/21,17:15,1035,東大門夜市,0,20
308,一般票,返程,2022/8/21,18:22,1102,七星潭,2022/8/21,19:06,1146,北濱街,0,44
308,一般票,返程,2022/8/22,18:41,1121,美侖大飯店,2022/8/22,19:01,1141,東大門夜市,1,20
308,一般票,去程,2022/8/24,16:56,1016,花蓮火車站,2022/8/24,17:37,1057,煙波大飯店,1,41
308,一般票,去程,2022/8/24,17:01,1021,花蓮火車站,2022/8/24,17:22,1042,東大門夜市,1,21
308,一般票,返程,2022/8/24,19:11,1151,東大門夜市,2022/8/24,19:23,1163,花蓮電影城,1,12
308,一般票,返程,2022/8/26,18:43,1123,美侖大飯店,2022/8/26,19:07,1147,東大門夜市,1,24
308,一般票,返程,2022/8/26,08:57,537,煙波大飯店,2022/8/26,09:17,557,花蓮火車站,1,20
308,一般票,去程,2022/8/27,16:58,1018,花蓮火車站,2022/8/27,17:14,1034,東大門夜市,0,16
308,一般票,去程,2022/8/27,17:35,1055,美侖大飯店,2022/8/27,17:50,1070,七星潭,0,15
308,一般票,返程,2022/8/27,18:27,1107,七星潭,2022/8/27,19:03,1143,北濱街,0,36
308,一般票,返程,2022/8/27,18:53,1133,門諾醫院,2022/8/27,19:24,1164,花蓮火車站,0,31
308,一般票,去程,2022/8/28,17:23,1043,黎明教養院,2022/8/28,17:47,1067,花蓮酒廠,0,24
308,一般票,返程,2022/8/29,19:10,1150,台灣企銀,2022/8/29,19:17,1157,花蓮電影城,1,7
308,一般票,去程,2022/8/30,07:23,443,花蓮火車站,2022/8/30,07:51,471,花蓮女中,1,28
308,一般票,去程,2022/8/31,07:27,447,花蓮火車站,2022/8/31,07:49,469,花蓮女中,1,22
308,一般票,去程,2022/8/31,07:28,448,花蓮火車站,2022/8/31,07:37,457,花蓮商校,1,9
308,一般票,返程,2022/8/31,08:52,532,翰品酒店,2022/8/31,09:17,557,花蓮火車站,1,25
308,一般票,去程,2022/8/31,16:55,1015,花蓮火車站,2022/8/31,17:33,1053,翰品酒店,1,38
