縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註,,,
屏東縣,Ⅲ-11,中油加油站,415,600,120.5551827,22.54718131,台1線,潮州,潮農倉庫,413,414,418,103,平原區,4.7,21.4,北,3.5,3.5,,,,2.3,,0.5,4860,21,189,0,99,1982,7151,6860,33610,736,17,18,0.53 ,,,,
屏東縣,Ⅲ-11,中油加油站,415,600,120.5551827,22.54718131,台1線,潮州,潮農倉庫,413,414,418,103,平原區,4.7,21.4,南,3.5,3.5,,,,2.3,,0.5,4509,34,187,0,80,1944,6754,6442,31744,652,17,18,0.53 ,,,,
屏東縣,Ⅲ-12,武丁招呼站,419,500,120.5314176,22.52479128,台1線,潮農倉庫,新埤,418,103,425,433,平原區,7.3,21.2,北,3.5,3.5,,,,2.3,,0.4,4065,51,188,0,56,2424,6784,6289,49523,695,17,18,0.52 ,,,,
屏東縣,Ⅲ-12,武丁招呼站,419,500,120.5314176,22.52479128,台1線,潮農倉庫,新埤,418,103,425,433,平原區,7.3,21.2,南,3.5,3.5,,,,2.3,,0.4,4737,42,189,0,60,2779,7807,7209,56991,740,7,8,0.52 ,,,,
屏東縣,Ⅲ-13,新埤大橋北,426,600,120.5496897,22.46346002,台1線,新埤,水底寮,425,433,435,942,平原區,10.5,23.4,北,3.5,3.5,,,,1.8,,1.2,14533,237,514,6,486,2436,18212,18841,191226,2295,16,17,0.55 ,,,,
屏東縣,Ⅲ-13,新埤大橋北,426,600,120.5496897,22.46346002,台1線,新埤,水底寮,425,433,435,942,平原區,10.5,23.4,南,3.5,3.5,,,,1.8,,1.2,14631,302,567,2,526,2821,18849,19494,197914,1896,9,10,0.55 ,,,,
屏東縣,Ⅲ-14,水底寮,437,000,120.5957307,22.38297903,台1線,水底寮,枋寮,435,942,437,000,平原區,1.1,24.4,北,3.5,3.5,,,,2.2,,2.8,11100,192,444,0,265,2375,14376,14512,15814,1816,16,17,0.55 ,,,,
屏東縣,Ⅲ-14,水底寮,437,000,120.5957307,22.38297903,台1線,水底寮,枋寮,435,942,437,000,平原區,1.1,24.4,南,3.5,3.5,3.5,,,,,1.1,10826,234,383,0,254,2304,14001,13896,15401,1491,10,11,0.55 ,,,,
屏東縣,Ⅲ-15,博愛橋,438,300,120.6025196,22.37321705,台1線,枋寮,枋山,437,000,453,693,平原區,16.7,23.2,北,3.5,3.5,,,,2.5,,2.0,8500,159,399,0,209,1201,10468,10806,174816,1603,16,17,0.52 ,,,,
屏東縣,Ⅲ-15,博愛橋,438,300,120.6025196,22.37321705,台1線,枋寮,枋山,437,000,453,693,平原區,16.7,23.2,南,3.5,3.5,,,,2.2,,0.3,8387,152,364,0,231,1137,10271,10650,171526,1491,10,11,0.52 ,,,,
屏東縣,Ⅲ-16,楓港加油站,460,200,120.6883537,22.20194589,台1線,枋山,楓港,453,693,460,600,平原區,6.9,26,北,3.5,3.5,3.5,,,,,1.6,6010,141,128,0,75,550,6904,6969,47638,1396,16,17,0.56 ,,,,
