縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
屏東縣,Ⅲ-11,中油加油站,415,600,120.5551827,22.54718131,台1線,潮州,潮農倉庫,413,414,418,103,平原區,4.7,21.4,北,3.5,3.5,,,,2.3,,0.5,3479,8,211,0,85,1259,5042,4944,23697,532,16,17,0.53,
屏東縣,Ⅲ-11,中油加油站,415,600,120.5551827,22.54718131,台1線,潮州,潮農倉庫,413,414,418,103,平原區,4.7,21.4,南,3.5,3.5,,,,2.3,,0.5,3132,6,213,0,106,1308,4765,4695,22395,603,7,8,0.53,
屏東縣,Ⅲ-12,武丁招呼站,419,500,120.5314176,22.52479128,台1線,潮農倉庫,新埤,418,103,425,433,平原區,7.3,21.2,北,3.5,3.5,,,,2.3,,0.4,2902,20,196,1,49,1466,4634,4402,33828,439,17,18,0.57,
屏東縣,Ⅲ-12,武丁招呼站,419,500,120.5314176,22.52479128,台1線,潮農倉庫,新埤,418,103,425,433,平原區,7.3,21.2,南,3.5,3.5,,,,2.3,,0.4,3198,23,215,0,84,2062,5582,5251,40749,584,7,8,0.57,
屏東縣,Ⅲ-13,新埤大橋北,426,600,120.5496897,22.46346002,台1線,新埤,水底寮,425,433,435,942,平原區,10.5,23.4,北,3.5,3.5,,,,1.8,,1.2,9776,84,609,1,546,1701,12717,13648,133528,1296,16,17,0.57,
屏東縣,Ⅲ-13,新埤大橋北,426,600,120.5496897,22.46346002,台1線,新埤,水底寮,425,433,435,942,平原區,10.5,23.4,南,3.5,3.5,,,,1.8,,1.2,10255,90,528,10,568,2129,13580,14406,142590,1690,10,11,0.57,
屏東縣,Ⅲ-14,水底寮,437,0,120.5957307,22.38297903,台1線,水底寮,枋寮,435,942,437,0,平原區,1.1,24.4,北,3.5,3.5,,,,2.2,,2.8,9172,99,493,2,324,2081,12171,12496,13388,1237,16,17,0.51,
屏東縣,Ⅲ-14,水底寮,437,0,120.5957307,22.38297903,台1線,水底寮,枋寮,435,942,437,0,平原區,1.1,24.4,南,3.5,3.5,3.5,,,,,1.1,8677,109,378,2,352,2020,11538,11682,12692,1277,9,10,0.51,
屏東縣,Ⅲ-15,博愛橋,438,300,120.6025196,22.37321705,台1線,枋寮,枋山,437,0,453,693,平原區,16.7,23.2,北,3.5,3.5,,,,2.5,,2,6705,29,347,2,362,1155,8600,9171,143620,930,16,17,0.52,
屏東縣,Ⅲ-15,博愛橋,438,300,120.6025196,22.37321705,台1線,枋寮,枋山,437,0,453,693,平原區,16.7,23.2,南,3.5,3.5,,,,2.2,,0.3,6085,32,330,2,316,1057,7822,8322,130627,857,9,10,0.52,
