縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,自行車_平日交通量,自行車_假日交通量,備註
屏東縣,Ⅲ-09,新美和護專,408,100,"E120'33'38.3""",N22'36'16.0'',台1線,內埔,美和護專,406,292,408,804,平原區,2.5,20.2,南,3.2,3.2,,,,2,,0.6,"4,456",58,213,1,55,"3,250","8,033","7,306","20,082",636,7,8,0.51,0,0,
屏東縣,Ⅲ-10,竹田招呼站,411,500,"E120'32'45.6""","N22'34'39.2""",台1線,美和護專,潮州,408,804,413,414,平原區,4.6,20.6,北,3.3,3.3,,,,2,,0.8,"8,098",122,230,0,72,"5,023","13,545","12,358","62,307","1,133",7,8,0.51,0,0,
屏東縣,Ⅲ-10,竹田招呼站,411,500,"E120'32'45.6""","N22'34'39.2""",台1線,美和護專,潮州,408,804,413,414,平原區,4.6,20.6,南,3.3,3.3,,,,2,,0.8,"8,061",82,228,0,55,"4,839","13,265","12,078","61,019","1,109",17,18,0.51,0,0,
屏東縣,Ⅲ-11,中油加油站,415,400,"E120'33'19.2""","N22'32'55.6""",台1線,潮州,潮農倉庫,413,414,418,103,平原區,4.7,21.4,北,3.5,3.5,,,,2.3,,0.5,"4,624",31,237,0,125,"1,743","6,760","6,622","31,772",624,7,8,0.52,31,19,
屏東縣,Ⅲ-11,中油加油站,415,400,"E120'33'19.2""","N22'32'55.6""",台1線,潮州,潮農倉庫,413,414,418,103,平原區,4.7,21.4,南,3.5,3.5,,,,2.3,,0.5,"4,365",25,204,1,65,"1,678","6,338","6,082","29,789",574,17,18,0.52,19,36,
屏東縣,Ⅲ-12,武丁招呼站,419,500,"E120'31'53.1""","N22'31'29.1""",台1線,潮農倉庫,新埤,418,103,425,433,平原區,7.3,21.2,北,3.5,3.5,,,,2.3,,0.4,"4,132",58,203,0,70,"2,256","6,719","6,313","49,049",652,17,18,0.52,0,0,
屏東縣,Ⅲ-12,武丁招呼站,419,500,"E120'31'53.1""","N22'31'29.1""",台1線,潮農倉庫,新埤,418,103,425,433,平原區,7.3,21.2,南,3.5,3.5,,,,2.3,,0.4,"4,477",60,216,1,68,"2,555","7,377","6,887","53,852",698,7,8,0.52,0,0,
屏東縣,Ⅲ-13,新埤大橋北,426,600,"E120'32'59.2""","N22'47'48.2""",台1線,新埤,水底寮,425,433,435,942,平原區,10.5,23.4,北,3.5,3.5,,,,1.8,,1.2,"13,837",259,562,9,500,"2,451","17,618","18,312","184,989","1,858",17,18,0.51,0,0,
屏東縣,Ⅲ-13,新埤大橋北,426,600,"E120'32'59.2""","N22'47'48.2""",台1線,新埤,水底寮,425,433,435,942,平原區,10.5,23.4,南,3.5,3.5,,,,1.8,,1.2,"14,095",334,610,11,569,"2,529","18,148","19,021","190,554","1,826",7,8,0.51,0,0,
屏東縣,Ⅲ-14,水底寮,437,0,"E120'35'44.8""","N22'22'58.8""",台1線,水底寮,枋寮,435,942,437,0,平原區,1.1,24.4,北,3.5,3.5,,,,2.2,,2.8,"13,609",397,508,3,353,"2,775","17,645","17,978","19,410","2,062",17,18,0.51,0,0,
