縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,自行車_平日交通量,自行車_假日交通量,備註
花蓮縣,IV-61,豐   濱,50,200,E121.52359,N23.60112,台11線,磯碕,豐濱,37,200,50,200,丘陵區,13,12,北,3.5,,,,,2.1,,0.4,"1,310",64,46,0,32,189,"1,641","1,895","29,538",569,14,15,0.5,0,0,
花蓮縣,IV-61,豐   濱,50,200,E121.52359,N23.60112,台11線,磯碕,豐濱,37,200,50,200,丘陵區,13,12,南,3.5,,,,,2.1,,0.4,"1,322",43,49,0,18,203,"1,635","1,790","29,430",569,14,15,0.5,0,0,
花蓮縣,IV-62,立  德,54,200,E121.51859,N23.56757,台11線,豐濱,立德,50,200,54,200,丘陵區,4,12.8,北,3.5,,,,,2.1,,0.8,"1,034",68,28,0,26,101,"1,257","1,503","22,626",379,15,16,0.52,0,0,
花蓮縣,IV-62,立  德,54,200,E121.51859,N23.56757,台11線,豐濱,立德,50,200,54,200,丘陵區,4,12.8,南,3.5,,,,,2.1,,0.8,992,40,25,0,16,88,"1,161","1,311","20,898",379,15,16,0.52,0,0,
花蓮縣,IV-63,靜  浦,68,0,E121.48808,N23.46663,台11線,立德,靜浦,54,200,68,0,丘陵區,13.8,14.6,北,3.5,,,,,2,,1.8,788,45,24,0,14,72,943,"1,101","16,974",305,14,15,0.51,0,0,
花蓮縣,IV-63,靜  浦,68,0,E121.48808,N23.46663,台11線,立德,靜浦,54,200,68,0,丘陵區,13.8,14.6,南,3.5,,,,,2,,1.8,787,20,20,0,6,60,893,967,"16,074",305,14,15,0.51,0,0,
花蓮縣,IV-64,光   復,0,800,E121.42979,N23.66387,台11甲線,光復,富田,0,0,4,0,山嶺區,4,9,東,3.5,,,,,-,,1,"1,452",10,23,0,2,"1,261","2,748","3,618","115,416",508,15,16,0.56,0,0,
花蓮縣,IV-64,光   復,0,800,E121.42979,N23.66387,台11甲線,光復,富田,0,0,4,0,山嶺區,4,9,西,3.5,,,,,-,,1,"2,062",9,37,0,2,"1,433","3,543","4,770","148,806",508,15,16,0.56,0,0,
花蓮縣,IV-65,富  田,4,0,E121.45782,N23.65629,台11甲線,富田,豐濱,4,0,19,238,山嶺區,15.2,8.2,東,3.1,,,,,-,,1,218,5,9,0,1,75,308,479,"12,936",113,5,6,0.65,0,0,
花蓮縣,IV-65,富  田,4,0,E121.45782,N23.65629,台11甲線,富田,豐濱,4,0,19,238,山嶺區,15.2,8.2,西,3.1,,,,,-,,1,446,7,19,0,1,94,567,900,"23,814",113,5,6,0.65,0,0,
