票種代碼,路線公路編號,上車時間(上),計費站名(上),下車時間(下),人次
敬老卡,1141,2021/7/20 09:36,太魯閣,2021/7/20 13:05,1
敬老卡,1141,2021/7/20 09:36,太魯閣,2021/7/20 13:04,1
敬老卡,1141,2021/7/21 08:40,花蓮火車站,2021/7/21 11:59,1
敬老卡,1141,2021/7/21 08:41,花蓮火車站,2021/7/21 08:48,1
敬老卡,1141,2021/7/21 08:55,花蓮火車站,2021/7/21 09:34,1
敬老卡,1141,2021/7/22 08:45,花蓮火車站,2021/7/22 08:45,1
敬老卡,1141,2021/7/22 08:54,花蓮火車站,2021/7/22 08:59,1
愛心卡,1141,2021/7/22 09:05,花蓮工校,2021/7/22 09:11,1
敬老卡,1141,2021/7/23 08:31,花蓮火車站,2021/7/23 08:48,1
愛心卡,1141,2021/7/23 09:06,花蓮工校,2021/7/23 09:11,1
敬老卡,1141,2021/7/23 09:15,北埔,2021/7/23 09:39,1
愛心卡,1141,2021/7/23 16:06,大禹嶺,2021/7/23 19:15,1
敬老卡,1141,2021/7/24 08:40,花蓮火車站,2021/7/24 08:49,1
愛心卡,1141,2021/7/24 09:33,新城,2021/7/24 09:38,1
敬老卡,1141,2021/7/25 08:48,花蓮火車站,2021/7/25 09:33,1
敬老卡,1141,2021/7/25 18:37,綠水,2021/7/25 18:47,1
敬老卡,1141,2021/7/26 08:31,花蓮火車站,2021/7/26 08:46,1
敬老卡,1141,2021/7/26 08:38,花蓮火車站,2021/7/26 08:46,1
愛心卡,1141,2021/7/26 09:33,新城,2021/7/26 09:38,1
敬老卡,1141,2021/7/27 08:30,花蓮火車站,2021/7/27 09:06,1
敬老卡,1141,2021/7/27 09:01,上美崙,2021/7/27 09:32,1
敬老卡,1141,2021/7/27 15:30,梨山,2021/7/27 19:46,1
敬老卡,1141,2021/7/28 08:30,花蓮火車站,2021/7/28 08:49,1
敬老卡,1141,2021/7/28 08:32,花蓮火車站,2021/7/28 13:18,1
愛心卡,1141,2021/7/28 08:54,花蓮火車站,2021/7/28 09:12,1
敬老卡,1141,2021/7/28 09:14,北埔,2021/7/28 10:44,1
一般卡,1141,2021/7/28 10:11,燕子口,2021/7/28 10:17,1
一般卡,1141,2021/7/28 10:11,燕子口,2021/7/28 10:17,1
一般卡,1141,2021/7/28 10:39,天祥,2021/7/28 11:24,1
一般卡,1141,2021/7/28 12:32,日新崗,2021/7/28 13:18,1
學生卡,1141,2021/7/28 14:45,梨山,2021/7/28 17:27,1
學生卡,1141,2021/7/28 14:46,梨山,2021/7/28 17:28,1
一般卡,1141,2021/7/28 14:51,梨山,2021/7/28 15:31,1
敬老卡,1141,2021/7/28 15:35,大禹嶺,2021/7/28 19:20,1
敬老卡,1141,2021/7/29 08:32,花蓮火車站,2021/7/29 13:13,1
敬老卡,1141,2021/7/29 08:32,花蓮火車站,2021/7/29 13:12,1
敬老卡,1141,2021/7/29 08:32,花蓮火車站,2021/7/29 11:44,1
一般卡,1141,2021/7/29 08:32,花蓮火車站,2021/7/29 11:44,1
敬老卡,1141,2021/7/29 08:53,花蓮火車站,2021/7/29 09:34,1
敬老卡,1141,2021/7/29 08:54,花蓮火車站,2021/7/29 09:33,1
敬老卡,1141,2021/7/29 09:34,新城,2021/7/29 13:13,1
敬老卡,1141,2021/7/29 09:36,富世國小,2021/7/29 11:53,1
一般卡,1141,2021/7/29 10:16,燕子口,2021/7/29 10:36,1
一般卡,1141,2021/7/29 10:16,燕子口,2021/7/29 10:36,1
一般卡,1141,2021/7/29 10:16,燕子口,2021/7/29 10:37,1
一般卡,1141,2021/7/29 10:17,燕子口,2021/7/29 10:37,1
敬老卡,1141,2021/7/29 11:01,洛韶,2021/7/29 13:13,1
敬老卡,1141,2021/7/29 14:32,梨山,2021/7/29 18:05,1
優待卡,1141,2021/7/29 14:39,梨山,2021/7/29 14:59,1
一般卡,1141,2021/7/29 14:46,梨山,2021/7/29 18:25,1
高捷一般卡,1141,2021/7/29 14:46,梨山,2021/7/29 18:25,1
敬老卡,1141,2021/7/29 16:25,大禹嶺,2021/7/29 18:28,1
學生卡,1141,2021/7/30 08:39,花蓮火車站,2021/7/30 09:07,1
學生卡,1141,2021/7/30 17:24,溪畔,2021/7/30 18:35,1
高捷一般卡,1141,2021/7/30 17:24,溪畔,2021/7/30 18:35,1
敬老卡,1141,2021/7/31 08:58,花蓮火車站,2021/7/31 09:08,1
敬老卡,1141,2021/7/31 09:16,國軍總醫院,2021/7/31 09:40,1
學生卡,1141,2021/7/31 10:05,天祥,2021/7/31 12:59,1
